CVE_ENTIDAD,ENTIDAD,CVE_MUNICIPIO,MUNICIPIO,CVE_LOCALIDAD,LOCALIDAD,INSTITUCION,NOMBRE_INSTITUCION,ESCUELA,NOMBRE_ESCUELA,CV_CONTROL,CONTROL,CV_SUBCONTROL,C_SUBCONTROL,ESC_POS_ESC,ALUM_POS_ESC,POS_HOMBRES_ESC,POS_MUJERES_ESC,NI_POS_TOTALES_ESC,NI_POS_HOMBRES_ESC,NI_POS_MUJERES_ESC,EGRE_POS_TOTAL_ESC,EGRE_POS_HOMBRES_ESC,EGRE_POS_MUJERES_ESC,TITU_POS_TOTAL_ESC,TITU_POS_HOMBRES_ESC,TITU_POS_MUJERES_ESC
28,TAMAULIPAS,3,ALTAMIRA,1,ALTAMIRA,28MSU1360N,CENTRO DE INVESTIGACION EN CIENCIA APLICADA Y TECNOLOGIA AVANZADA UNIDAD ALTAMIRA,28DPN0002E,CENTRO DE INVESTIGACION EN CIENCIA APLICADA Y TECNOLOGIA AVANZADA UNIDAD ALTAMIRA,1,PÚBLICO,1,FEDERAL,1,33,19,14,8,4,4,10,4,6,13,5,8
28,TAMAULIPAS,21,EL MANTE,1,CIUDAD MANTE,28MSU1380A,ESCUELA DE TRABAJO SOCIAL MANTE,28PSU0137E,ESCUELA DE TRABAJO SOCIAL MANTE,2,PRIVADO,1,PRIVADO,0,0,0,0,0,0,0,0,0,0,0,0,0
28,TAMAULIPAS,41,VICTORIA,1,CIUDAD VICTORIA,28MSU1400Y,ESCUELA DE POSTGRADO DE NORMAL SUPERIOR DE TAMAULIPAS,28PSU0140S,ESCUELA DE POSTGRADO DE NORMAL SUPERIOR DE TAMAULIPAS,2,PRIVADO,1,PRIVADO,0,0,0,0,0,0,0,0,0,0,0,0,0
28,TAMAULIPAS,40,VALLE HERMOSO,1,VALLE HERMOSO,28MSU1410E,"INSTITUTO TECNOLOGICO PARA EL TRABAJO, EDUCACION Y CAPACITACION SUPERIOR",28PSU0141R,"INSTITUTO TECNOLOGICO PARA EL TRABAJO, EDUCACION Y CAPACITACION SUPERIOR",2,PRIVADO,1,PRIVADO,0,0,0,0,0,0,0,0,0,0,0,0,0
28,TAMAULIPAS,22,MATAMOROS,1,HEROICA MATAMOROS,28MSU1420L,UNIVERSIDAD JUAN JOSE DE LA GARZA,28PSU0142Q,UNIVERSIDAD JUAN JOSE DE LA GARZA,2,PRIVADO,1,PRIVADO,0,0,0,0,0,0,0,0,0,0,0,0,0
28,TAMAULIPAS,41,VICTORIA,1,CIUDAD VICTORIA,28MSU1430S,CENTRO REGIONAL DE FORMACION DOCENTE E INVESTIGACION EDUCATIVA,28ESU0009D,CENTRO REGIONAL DE FORMACION DOCENTE E INVESTIGACION EDUCATIVA,1,PÚBLICO,2,ESTATAL,1,107,39,68,19,5,14,51,22,29,8,2,6
28,TAMAULIPAS,32,REYNOSA,1,REYNOSA,28MSU1440Z,CENTRO UNIVERSITARIO JOSE VASCONCELOS,28PSU0144O,CENTRO UNIVERSITARIO JOSE VASCONCELOS,2,PRIVADO,1,PRIVADO,1,11,6,5,0,0,0,11,6,5,2,0,2
28,TAMAULIPAS,32,REYNOSA,1,REYNOSA,28MSU1450F,ESCUELA DE ENFERMERIA DR. JOSE ANGEL CADENA Y CADENA,28PSU0145N,ESCUELA DE ENFERMERIA DR. JOSE ANGEL CADENA Y CADENA,2,PRIVADO,1,PRIVADO,1,713,155,558,352,58,294,498,100,398,889,162,727
28,TAMAULIPAS,38,TAMPICO,1,TAMPICO,28MSU1460M,UNIVERSIDAD TEC TAMPICO,28PSU0146M,UNIVERSIDAD TEC TAMPICO,2,PRIVADO,1,PRIVADO,1,176,60,116,75,22,53,83,42,41,0,0,0
28,TAMAULIPAS,22,MATAMOROS,1,HEROICA MATAMOROS,28MSU1470T,UNIVERSIDAD DE LA FE,28PSU0147L,UNIVERSIDAD DE LA FE,2,PRIVADO,1,PRIVADO,0,0,0,0,0,0,0,0,0,0,0,0,0
28,TAMAULIPAS,41,VICTORIA,1,CIUDAD VICTORIA,28MSU1490G,UNIVERSIDAD DE SEGURIDAD Y JUSTICIA DE TAMAULIPAS,28ESU0010T,UNIVERSIDAD DE SEGURIDAD Y JUSTICIA DE TAMAULIPAS,1,PÚBLICO,2,ESTATAL,1,28,19,9,0,0,0,24,11,13,12,6,6
28,TAMAULIPAS,41,VICTORIA,1,CIUDAD VICTORIA,28MSU1500X,CENTRO DE ESTUDIOS CULINARIOS ROCCATTI VICTORIA,28PSU0154V,CENTRO DE ESTUDIOS CULINARIOS ROCCATTI VICTORIA,2,PRIVADO,1,PRIVADO,0,0,0,0,0,0,0,0,0,0,0,0,0
28,TAMAULIPAS,22,MATAMOROS,1,HEROICA MATAMOROS,28MSU1510D,INSTITUTO DE ESTUDIOS SUPERIORES OXFORD,28PSU0157S,INSTITUTO DE ESTUDIOS SUPERIORES OXFORD,2,PRIVADO,1,PRIVADO,0,0,0,0,0,0,0,0,0,0,0,0,0
29,TLAXCALA,38,TZOMPANTEPEC,2,SAN ANDRÉS AHUASHUATEPEC,29MSU0001T,UNIVERSIDAD DEL VALLE DE TLAXCALA,29PSU0001Q,UNIVERSIDAD DEL VALLE DE TLAXCALA,2,PRIVADO,1,PRIVADO,1,83,24,59,34,10,24,12,6,6,12,6,6
29,TLAXCALA,33,TLAXCALA,1,TLAXCALA DE XICOHTÉNCATL,29MSU0003R,"ESCUELA SUPERIOR DE TURISMO INSTITUTO BRITANICO, A. C.",29PSU0010Y,"ESCUELA SUPERIOR DE TURISMO INSTITUTO BRITANICO, A. C.",2,PRIVADO,1,PRIVADO,0,0,0,0,0,0,0,0,0,0,0,0,0
29,TLAXCALA,33,TLAXCALA,8,OCOTLÁN,29MSU0004Q,INSTITUTO TECNOLOGICO DE TLAXCALA,29PSU0009I,INSTITUTO TECNOLOGICO DE TLAXCALA,2,PRIVADO,1,PRIVADO,0,0,0,0,0,0,0,0,0,0,0,0,0
29,TLAXCALA,33,TLAXCALA,1,TLAXCALA DE XICOHTÉNCATL,29MSU0005P,UNIVERSIDAD DEL ALTIPLANO,29PSU0030L,UNIVERSIDAD DEL ALTIPLANO,2,PRIVADO,1,PRIVADO,0,0,0,0,0,0,0,0,0,0,0,0,0
29,TLAXCALA,44,ZACATELCO,1,ZACATELCO,29MSU0007N,CENTRO DE ESTUDIOS SUPERIORES DE TLAXCALA,29PSU0007K,CENTRO DE ESTUDIOS SUPERIORES DE TLAXCALA,2,PRIVADO,1,PRIVADO,1,11,6,5,11,6,5,0,0,0,0,0,0
29,TLAXCALA,38,TZOMPANTEPEC,2,SAN ANDRÉS AHUASHUATEPEC,29MSU0009L,INSTITUTO TECNOLOGICO DE APIZACO,29DIT0037U,INSTITUTO TECNOLOGICO DE APIZACO,1,PÚBLICO,1,FEDERAL,1,19,11,8,10,5,5,43,25,18,39,26,13
29,TLAXCALA,15,IXTACUIXTLA DE MARIANO MATAMOROS,22,SAN DIEGO XOCOYUCAN,29MSU0010A,INSTITUTO TECNOLOGICO DEL ALTIPLANO DE TLAXCALA,29DIT0001F,INSTITUTO TECNOLOGICO DEL ALTIPLANO DE TLAXCALA,1,PÚBLICO,1,FEDERAL,1,26,16,10,19,13,6,8,5,3,8,4,4
